Temp,Humd,Label
21.0,20.0,1
21.0,20.0,1
21.0,20.0,1
21.0,20.0,1
21.0,20.0,1
21.0,20.0,1
21.0,20.0,1
21.0,20.0,1
21.0,20.0,1
21.0,20.0,1
21.0,20.0,1
21.0,20.0,1
21.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,21.0,1
22.0,23.0,1
22.0,23.0,1
22.0,24.0,1
22.0,34.0,1
23.0,71.0,1
24.0,85.0,1
25.0,90.0,1
26.0,91.0,1
27.0,92.0,1
27.0,92.0,1
27.0,92.0,1
27.0,92.0,1
27.0,92.0,1
27.0,93.0,1
28.0,92.0,1
28.0,92.0,1
28.0,92.0,1
28.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
29.0,92.0,1
28.0,92.0,1
28.0,92.0,1
28.0,92.0,1
28.0,92.0,1
28.0,92.0,1
28.0,92.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
27.0,93.0,1
26.0,93.0,1
26.0,93.0,1
26.0,93.0,1
26.0,93.0,1
26.0,93.0,1
26.0,93.0,1
26.0,93.0,1
26.0,93.0,1
26.0,93.0,1
26.0,93.0,1
26.0,93.0,1
26.0,93.0,1
26.0,93.0,1
25.0,93.0,1
25.0,93.0,1
25.0,93.0,1
25.0,92.0,1
25.0,92.0,1
25.0,92.0,1
25.0,92.0,1
25.0,92.0,1
25.0,92.0,1
25.0,92.0,1
25.0,92.0,1
25.0,92.0,1
25.0,92.0,1
25.0,92.0,1
25.0,92.0,1
